,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
AAPL,1.0,0.05214427334520672,0.03357624206911783,0.03781857933987465,0.003240694008647624,0.45548073874887246,0.09398064745109487,0.012648259986001666
RELIANCE.NS,0.05214427334520672,1.0,0.27930970956944057,0.3037739867066704,0.35705850855561927,0.08663818090403164,0.3815675707167804,0.25128916908888327
TCS.NS,0.03357624206911783,0.27930970956944057,1.0,0.16426651060866182,0.11901321570325968,0.11623531107468911,0.17774345723456264,0.7048348808966726
MARUTI.NS,0.03781857933987465,0.3037739867066704,0.16426651060866182,1.0,0.18435253979445018,0.06413033967083766,0.2026332624411961,0.1553567054823573
HDFCBANK.NS,0.003240694008647624,0.35705850855561927,0.11901321570325968,0.18435253979445018,1.0,0.006593467425255913,0.44857870275019734,0.1819610674393023
AMZN,0.45548073874887246,0.08663818090403164,0.11623531107468911,0.06413033967083766,0.006593467425255913,1.0,0.08517975737609694,0.07298298998880283
ICICIBANK.NS,0.09398064745109487,0.3815675707167804,0.17774345723456264,0.2026332624411961,0.44857870275019734,0.08517975737609694,1.0,0.22565040841513592
INFY.NS,0.012648259986001666,0.25128916908888327,0.7048348808966726,0.1553567054823573,0.1819610674393023,0.07298298998880283,0.22565040841513592,1.0
