Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
2023-01-04,124.36565399169922,1149.7095947265625,2980.632568359375,8177.68896484375,774.7041625976562,85.13999938964844,877.3782958984375,1370.9219970703125
2023-01-05,123.04681396484376,1147.6553955078125,2977.440673828125,8214.8740234375,769.7240600585938,83.12000274658203,857.9103393554688,1352.9462890625
2023-01-06,127.57420349121094,1158.0863037109375,2887.922607421875,8139.0947265625,767.1738891601562,86.08000183105469,849.078857421875,1328.4591064453125
2023-01-09,128.0958251953125,1185.4302978515625,2985.3994140625,8133.22119140625,768.6654663085938,87.36000061035156,852.2503662109375,1361.4298095703125
2023-01-10,128.6667022705078,1167.9010009765625,2955.229248046875,8051.81201171875,754.6154174804688,89.87000274658203,840.540283203125,1347.9478759765625
2023-01-11,131.3831329345703,1153.1790771484375,2993.26708984375,8043.36474609375,765.48974609375,95.08999633789062,845.3706665039062,1349.32373046875
2023-01-12,131.3043975830078,1128.2769775390625,2998.34814453125,8125.6484375,769.5796508789062,95.2699966430664,839.8572387695312,1357.898681640625
2023-01-13,132.63308715820312,1126.451171875,3034.4970703125,8207.3984375,770.1812133789062,98.12000274658205,852.3479614257812,1379.0386962890625
2023-01-17,133.7945098876953,1131.5638427734375,3107.012939453125,8232.5927734375,774.1508178710938,96.0500030517578,844.24853515625,1411.9176025390625
2023-01-18,133.07598876953125,1129.692138671875,3117.68115234375,8246.865234375,787.8159790039062,95.45999908447266,848.493408203125,1417.32861328125
2023-01-19,133.13507080078125,1128.4825439453125,3102.138671875,8254.244140625,791.087890625,93.68000030517578,845.224365234375,1411.3673095703125
2023-01-20,135.69400024414062,1115.0615234375,3092.942138671875,8194.1943359375,799.195556640625,97.25,849.3228759765625,1399.123779296875
2023-01-23,138.8828582763672,1109.4237060546875,3140.58056640625,8172.154296875,805.041748046875,97.5199966430664,850.6402587890625,1419.713134765625
2023-01-24,140.28045654296875,1102.873046875,3160.26171875,8445.6572265625,815.8198852539062,96.31999969482422,849.7132568359375,1423.2900390625
2023-01-25,139.6210174560547,1087.6259765625,3154.238037109375,8528.474609375,793.2772216796875,97.18000030517578,834.6364135742188,1415.12744140625
2023-01-27,143.6267547607422,1066.9923095703125,3137.0400390625,8483.23046875,777.4708862304688,102.23999786376952,797.4569702148438,1393.25390625
2023-01-30,140.74301147460938,1077.218017578125,3157.82470703125,8560.41796875,776.6769409179688,100.5500030517578,803.6046752929688,1411.275634765625
2023-01-31,142.01266479492188,1074.5245361328125,3088.895263671875,8636.4384765625,771.552490234375,103.12999725341795,811.8017578125,1406.6441650390625
2023-02-01,143.13465881347656,1068.156494140625,3134.55712890625,8513.66796875,783.1245727539062,105.1500015258789,827.4640502929688,1422.5562744140625
2023-02-02,148.43960571289062,1062.2447509765625,3182.42578125,8612.0205078125,771.4802856445312,112.91000366210938,837.1736450195312,1452.50048828125
2023-02-03,152.06155395507812,1063.1806640625,3202.566650390625,8682.0703125,798.1611328125,103.38999938964844,842.9310302734375,1466.8536376953125
2023-02-06,149.33522033691406,1055.1690673828125,3182.011962890625,8648.7685546875,794.7688598632812,102.18000030517578,833.0751342773438,1439.75244140625
2023-02-07,152.20916748046875,1052.6356201171875,3193.60009765625,8507.455078125,795.9476318359375,102.11000061035156,832.1480712890625,1432.9197998046875
2023-02-08,149.52224731445312,1073.6572265625,3237.330322265625,8577.6025390625,795.8515014648438,100.0500030517578,838.3446044921875,1458.691162109375
2023-02-09,148.4888153076172,1075.52880859375,3256.413330078125,8545.0771484375,794.1914672851562,98.23999786376952,840.0035400390625,1482.9951171875
2023-02-10,148.85354614257812,1066.6728515625,3253.378173828125,8554.9306640625,797.3430786132812,97.61000061035156,833.2214965820312,1475.2454833984375
2023-02-13,151.65298461914062,1060.6014404296875,3202.65869140625,8553.0869140625,797.9445190429688,99.54000091552734,830.0988159179688,1437.5511474609375
2023-02-14,151.0122528076172,1085.5946044921875,3218.936767578125,8519.1044921875,805.3305053710938,99.6999969482422,844.3948364257812,1461.2132568359375
2023-02-15,153.11183166503906,1110.1768798828125,3237.8359375,8587.9423828125,803.694580078125,101.16000366210938,849.761962890625,1464.6983642578125
2023-02-16,151.51498413085938,1109.3095703125,3272.23193359375,8548.8642578125,800.783447265625,98.1500015258789,848.4446411132812,1469.0548095703125
2023-02-17,150.37156677246094,1113.9429931640625,3219.90234375,8551.4365234375,796.7656860351562,97.1999969482422,841.8089599609375,1452.54638671875
2023-02-21,146.35968017578125,1111.158447265625,3173.781005859375,8417.548828125,792.2427368164062,94.58000183105467,833.5630493164062,1448.602783203125
2023-02-22,146.7835235595703,1085.9598388671875,3128.30322265625,8406.966796875,776.7009887695312,95.79000091552734,818.9741821289062,1432.3697509765625
2023-02-23,147.26654052734375,1080.7557373046875,3139.5693359375,8443.181640625,771.4321899414062,95.81999969482422,819.462158203125,1422.189453125
2023-02-24,144.61497497558594,1088.1510009765625,3127.29150390625,8408.4716796875,764.5514526367188,93.5,819.413330078125,1422.1436767578125
2023-02-27,145.8076629638672,1080.91552734375,3064.202392578125,8380.9951171875,766.4521484375,93.76000213623048,835.7098999023438,1384.2203369140625
2023-02-28,145.30496215820312,1060.2362060546875,3046.728515625,8373.373046875,769.6759033203125,94.2300033569336,834.197265625,1364.2728271484375
2023-03-01,143.2349395751953,1069.982421875,3113.726806640625,8509.10546875,768.93017578125,92.16999816894533,835.6123046875,1372.068359375
2023-03-02,143.82638549804688,1061.8338623046875,3054.6376953125,8299.9736328125,762.38623046875,92.12999725341795,833.3678588867188,1350.1490478515625
2023-03-03,148.8732452392578,1088.927001953125,3073.674560546875,8350.9453125,777.5189819335938,94.9000015258789,847.56640625,1356.7066650390625
2023-03-06,151.63330078125,1099.5633544921875,3100.9892578125,8380.2666015625,783.0042724609375,93.75,846.7857055664062,1382.523681640625
2023-03-08,150.6869659423828,1103.5120849609375,3118.048583984375,8440.8994140625,784.5680541992188,93.91999816894533,851.030517578125,1368.99609375
2023-03-09,148.43954467773438,1076.9896240234375,3068.80029296875,8293.37109375,784.6402587890625,92.25,835.270751953125,1357.715576171875
2023-03-10,146.37937927246094,1060.3046875,3063.420166015625,8351.2373046875,764.4071655273438,90.7300033569336,822.2921142578125,1349.598876953125
2023-03-13,148.3212432861328,1042.866455078125,3018.310791015625,8270.5078125,754.7356567382812,92.43000030517578,808.3863525390625,1316.16943359375
2023-03-14,150.4109649658203,1038.9635009765625,2956.69287109375,8264.4384765625,752.7147827148438,94.87999725341795,810.2891845703125,1302.3209228515625
2023-03-15,150.80526733398438,1021.2056884765624,2941.931884765625,8228.3212890625,741.9125366210938,96.1999969482422,805.94677734375,1302.0
2023-03-16,153.62442016601562,1016.11572265625,2929.14892578125,8191.912109375,746.7242431640625,100.04000091552734,803.9950561523438,1287.7386474609375
2023-03-17,152.7865753173828,1014.8377075195312,2923.90673828125,8074.82177734375,756.70849609375,98.9499969482422,816.0466918945312,1302.9627685546875
2023-03-20,155.15228271484375,1004.8631591796876,2890.798583984375,7980.4013671875,751.4636840820312,97.70999908447266,816.241943359375,1287.3258056640625
2023-03-21,157.00546264648438,1036.1102294921875,2856.5869140625,7988.9462890625,759.9803466796875,100.61000061035156,831.8065185546875,1275.4490966796875
2023-03-22,155.576171875,1039.26025390625,2879.302978515625,8012.248046875,758.2241821289062,98.6999969482422,839.4180908203125,1274.1192626953125
2023-03-23,156.66041564941406,1026.1131591796875,2873.646240234375,8110.11376953125,752.1373901367188,98.70999908447266,834.7828979492188,1260.6375732421875
2023-03-24,157.9616241455078,1005.7989501953124,2869.830078125,8003.02490234375,750.9344482421875,98.12999725341795,831.8065185546875,1266.2318115234375
2023-03-27,156.0197296142578,1021.4338989257812,2871.4853515625,8037.4423828125,754.2063598632812,98.04000091552734,828.1959228515625,1273.8441162109375
2023-03-28,155.3987274169922,1026.2044677734375,2865.59912109375,7969.916015625,760.3412475585938,97.23999786376952,834.0997314453125,1263.4349365234375
2023-03-29,158.47418212890625,1020.1329345703124,2886.751708984375,8053.89892578125,763.9981689453125,100.25,830.4403076171875,1268.8916015625
2023-03-31,162.54518127441406,1064.116455078125,2948.36962890625,8050.8408203125,774.463623046875,103.29000091552734,856.05615234375,1309.612060546875
2023-04-03,163.7970428466797,1064.299072265625,2942.94384765625,8255.603515625,774.9447631835938,102.41000366210938,862.4478759765625,1293.92919921875
2023-04-05,161.4214630126953,1061.74267578125,2979.546875,8201.2333984375,795.7310791015625,101.0999984741211,863.2285766601562,1305.5767822265625
2023-04-06,162.30862426757812,1068.8638916015625,2961.980224609375,8268.8076171875,801.7938842773438,102.05999755859376,853.8605346679688,1304.0634765625
2023-04-10,159.71617126464844,1061.2861328125,3001.250244140625,8286.76953125,797.99267578125,102.16999816894533,847.46875,1309.291015625
2023-04-11,158.50372314453125,1066.5357666015625,2955.635009765625,8407.548828125,800.3262939453125,99.91999816894533,860.5938720703125,1289.6187744140625
2023-04-12,157.813720703125,1071.23779296875,2981.248046875,8370.1689453125,810.7196044921875,97.83000183105467,868.6445922851562,1309.9329833984375
2023-04-13,163.19577026367188,1075.27783203125,2932.689697265625,8418.4716796875,814.352294921875,102.4000015258789,877.2807006835938,1274.0733642578125
2023-04-17,162.87046813964844,1080.73291015625,2887.303466796875,8422.208984375,801.938232421875,102.73999786376952,879.525146484375,1154.021484375
2023-04-18,164.09278869628906,1068.36181640625,2879.25634765625,8478.5224609375,798.5459594726562,102.3000030517578,875.1825561523438,1154.984375
2023-04-19,165.2362060546875,1073.6800537109375,2841.412353515625,8427.35546875,801.4810791015625,104.3000030517578,870.3522338867188,1130.0843505859375
2023-04-20,164.27020263671875,1070.9638671875,2855.39111328125,8461.0458984375,804.4644165039062,103.80999755859376,872.7918701171875,1122.013671875
2023-04-21,162.66346740722656,1072.310546875,2906.939208984375,8309.3916015625,805.7634887695312,106.95999908447266,864.2532348632812,1125.636474609375
2023-04-24,162.96905517578125,1076.4190673828125,2919.76806640625,8219.77734375,812.2833862304688,106.20999908447266,882.8917846679688,1124.67333984375
2023-04-25,161.4313201904297,1084.65869140625,2920.871826171875,8222.447265625,800.7353515625,102.56999969482422,891.3816528320312,1123.3895263671875
2023-04-26,161.4214630126953,1078.2906494140625,2941.242431640625,8259.341796875,804.4161987304688,104.9800033569336,892.8453979492188,1125.8197021484375
2023-04-27,166.0050506591797,1085.115234375,2931.862060546875,8294.3427734375,808.8429565429688,109.81999969482422,896.1631469726562,1142.969970703125
2023-04-28,167.25692749023438,1104.9500732421875,2960.647705078125,8339.5859375,812.0186767578125,105.4499969482422,895.4801635742188,1148.931396484375
2023-05-02,166.13319396972656,1114.3310546875,2960.785400390625,8521.435546875,811.8502807617188,103.62999725341795,899.8226318359375,1171.5841064453125
2023-05-03,165.0587921142578,1104.7674560546875,2924.45849609375,8541.2900390625,814.689208984375,103.6500015258789,900.554443359375,1163.9722900390625
2023-05-04,163.4224853515625,1117.503662109375,2961.980224609375,8544.494140625,831.3616333007812,104.0,899.4323120117188,1168.0076904296875
2023-05-05,171.09140014648438,1114.650634765625,2971.177978515625,8688.236328125,782.2103881835938,105.66000366210938,904.555419921875,1154.7550048828125
2023-05-08,171.02236938476562,1128.4140625,2989.479248046875,8812.123046875,791.2562866210938,105.83000183105467,915.2408447265624,1160.7164306640625
2023-05-09,169.31710815429688,1131.9061279296875,3019.506103515625,8846.39453125,791.2803344726562,106.62000274658205,911.8255004882812,1165.393798828125
2023-05-10,171.08151245117188,1139.6895751953125,3022.771240234375,8901.3486328125,794.937255859375,110.19000244140624,913.4356079101562,1158.5614013671875
2023-05-11,171.26882934570312,1132.2486572265625,3018.49462890625,8991.3994140625,795.4664916992188,112.18000030517578,916.5094604492188,1152.003662109375
2023-05-12,170.3409423828125,1134.097412109375,3011.275634765625,9024.896484375,802.4916381835938,110.26000213623048,921.095947265625,1142.0069580078125
2023-05-15,169.847412109375,1136.334228515625,2993.572021484375,8939.359375,806.3410034179688,111.1999969482422,922.9012451171876,1154.0672607421875
2023-05-16,169.847412109375,1120.1513671875,2996.4228515625,8807.365234375,801.7174072265625,113.4000015258789,923.4866943359376,1159.524169921875
2023-05-17,170.45941162109375,1113.5321044921875,2950.94482421875,8854.017578125,797.4102172851562,115.5,916.6558837890624,1143.5662841796875
2023-05-18,172.78890991210938,1111.1356201171875,2942.805908203125,8789.83984375,800.5980224609375,118.1500015258789,923.6331787109376,1142.7406005859375
2023-05-19,172.89749145507812,1114.7418212890625,2963.958251953125,8840.9580078125,801.5228271484375,116.25,931.2446899414062,1163.7430419921875
2023-05-22,171.94989013671875,1120.6990966796875,3033.71533203125,8890.18359375,798.6757202148438,115.01000213623048,927.39013671875,1185.6622314453125
2023-05-23,169.34400939941406,1120.4937744140625,3032.197998046875,8932.951171875,796.8018798828125,114.98999786376952,930.366455078125,1192.3114013671875
2023-05-24,169.62039184570312,1113.9658203125,3037.991455078125,9000.962890625,786.3868408203125,116.75,917.9244384765624,1191.02734375
2023-05-25,170.7555389404297,1113.8289794921875,3028.93310546875,9011.740234375,783.3693237304688,115.0,917.143798828125,1196.255126953125
2023-05-26,173.1639862060547,1144.2088623046875,3061.48876953125,9126.4033203125,786.3868408203125,120.11000061035156,927.731689453125,1208.2694091796875
2023-05-30,175.0098419189453,1150.3487548828125,3049.80908203125,9110.28515625,796.5828857421875,121.66000366210938,926.9998168945312,1214.1390380859375
2023-05-31,174.96051025390625,1127.5008544921875,3025.254150390625,9095.091796875,783.9777221679688,120.58000183105467,926.2191162109376,1209.049072265625
