Date,Open,Close,Volume,Daily_Return,Normalized
2023-01-03,876.7927916486487,879.5739135742188,5846855.0,-0.12189740505043067,99.87810259494957
2023-01-04,877.2807356586387,877.3782958984375,12454582.0,-0.24962287329091115,99.62878400546361
2023-01-05,879.1348736929588,857.9103393554688,16547196.0,-2.2188782916077843,97.41814254497358
2023-01-06,857.7150822158359,849.078857421875,14804613.0,-1.029417822406553,96.41530282335819
2023-01-09,853.128646577258,852.2503662109375,16811853.0,0.3735234673835075,96.77543660555233
2023-01-10,854.2508913830072,840.540283203125,13470142.0,-1.3740191230277699,95.44572360019842
2023-01-11,842.0528443311998,845.3706665039062,15558460.0,0.5746760027221631,95.99422726935327
2023-01-12,844.5900418696975,839.8572387695312,16659001.0,-0.6521905659651273,95.36816197523143
2023-01-13,843.8093564017448,852.3479614257812,11223103.0,1.4872435551725571,96.78651881789457
2023-01-16,856.05621828147,844.3461303710938,8319812.0,-0.9387986382113578,95.87788829726
2023-01-17,846.0050363579256,844.24853515625,12624859.0,-0.011558673787115392,95.86680608491774
2023-01-18,843.5654250474721,848.493408203125,11313898.0,0.5027989827769641,96.34882341073347
2023-01-19,847.029646532359,845.224365234375,6694679.0,-0.38527617741579423,95.9776143469115
2023-01-20,852.3967978123699,849.3228759765625,8127162.0,0.48490210537779355,96.44301181957104
2023-01-23,860.6914050079915,850.6402587890625,16882379.0,0.15510977624206834,96.5926043594055
2023-01-24,857.7639423012221,849.7132568359375,11504090.0,-0.10897696688428882,96.48734066894008
2023-01-25,852.2015435388557,834.6364135742188,14918485.0,-1.7743448322626088,94.77532252599312
2023-01-27,818.876683833697,797.4569702148438,39718683.0,-4.454567612280302,90.55349170431603
2023-01-30,780.6724228711294,803.6046752929688,36301441.0,0.7709137054089155,91.25158098259095
2023-01-31,806.0442748819686,811.8017578125,27291226.0,1.0200391774155548,92.18238285862445
2023-02-01,823.0727675844201,827.4640502929688,39237711.0,1.9293247803100044,93.96088041419613
2023-02-02,808.3863483354639,837.1736450195312,16798190.0,1.173415899231478,95.06343232403418
2023-02-03,843.7605304527782,842.9310302734375,14914366.0,0.6877169734329058,95.71719968365447
2023-02-06,840.6866790648273,833.0751342773438,8463833.0,-1.1692410935324804,94.59803485137465
2023-02-07,834.3437126381102,832.1480712890625,9337066.0,-0.11128203809437354,94.49276423019481
2023-02-08,831.9040805956793,838.3446044921875,8082983.0,0.7446431010200039,95.19639807999805
2023-02-09,837.7591186687812,840.0035400390625,6299265.0,0.19788229541715108,95.3847748976732
2023-02-10,834.8804375621235,833.2214965820312,8656405.0,-0.8073827232580322,94.61465470453082
2023-02-13,832.7823775217515,830.0988159179688,9394365.0,-0.37477197562377773,94.26006549386503
2023-02-14,833.2702896230664,844.3948364257812,13402934.0,1.7222070714560944,95.88341900735952
2023-02-15,845.4683000864001,849.761962890625,12070288.0,0.63561810580961,96.49287137903958
2023-02-16,854.787605159296,848.4446411132812,10715685.0,-0.15502244568145196,96.34328576991955
2023-02-17,846.5905434062581,841.8089599609375,9990618.0,-0.7820994830772698,95.58978542993334
2023-02-20,841.8088986592531,831.5137329101562,9013430.0,-1.2229885330822587,94.42073331532733
2023-02-21,833.7582293477933,833.5630493164062,11704445.0,0.24645611072202644,94.65343898237151
2023-02-22,830.6842687366475,818.9741821289062,13880984.0,-1.7501816088733912,92.99683190113586
2023-02-23,816.3394563163132,819.462158203125,11743574.0,0.059583816543562484,93.05224296284715
2023-02-24,823.560652457791,819.413330078125,8246139.0,-0.005958557635787898,93.0466983913188
2023-02-27,813.4119068231814,835.7098999023438,14422574.0,1.9888094598930817,94.89721993104355
2023-02-28,834.2461053006881,834.197265625,19600146.0,-0.18099992324136505,94.72545603581017
2023-03-01,843.1262893169088,835.6123046875,11015843.0,0.16962883011129026,94.88613771870129
2023-03-02,832.3920183025423,833.3678588867188,12327141.0,-0.2685989409431433,94.63127455768701
2023-03-03,836.0514981986004,847.56640625,12823098.0,1.703755095888737,96.24355972026805
2023-03-06,850.6890680812614,846.7857055664062,13904231.0,-0.09211085737197422,96.1549089522444
2023-03-08,845.7122342431666,851.030517578125,16144568.0,0.5012852701474779,96.63691934734572
2023-03-09,846.2489584201631,835.270751953125,10624440.0,-1.8518449455666275,94.84735344086059
2023-03-10,824.2925755972103,822.2921142578125,17273189.0,-1.55382403429839,93.37359246720057
2023-03-13,821.1210600737454,808.3863525390625,16413159.0,-1.6910975403553685,91.7945539416463
2023-03-14,807.0201425209714,810.2891845703125,15456802.0,0.23538646159393384,92.01062589410547
2023-03-15,816.2418837869195,805.94677734375,12914488.0,-0.5359083286870292,91.5175332866619
2023-03-16,809.6549194526357,803.9950561523438,14987868.0,-0.24216502209224444,91.29590983195997
2023-03-17,811.7041893648593,816.0466918945312,11104490.0,1.4989688866823059,92.66440711515457
2023-03-20,816.778643817747,816.241943359375,14838651.0,0.02392650650790973,92.6865784705535
2023-03-21,822.6335934511657,831.8065185546875,18755854.0,1.9068580488836417,94.4539799523541
2023-03-22,836.9297092178792,839.4180908203125,17431520.0,0.915065234022272,95.31829548504848
2023-03-23,836.2954390482155,834.7828979492188,17920621.0,-0.552191205048258,94.79195624057812
2023-03-24,831.9040787866177,831.8065185546875,17295696.0,-0.3565453247596717,94.4539799523541
2023-03-27,834.2949265553112,828.1959228515625,17047675.0,-0.4340667718496172,94.04398661069145
2023-03-28,834.8803919931624,834.0997314453125,24469018.0,0.7128516853140976,94.71438075418233
2023-03-29,836.3441310294944,830.4403076171875,34881515.0,-0.4387273715798945,94.29884284099133
2023-03-31,841.1258033201476,856.05615234375,25739021.0,3.0846099944333183,97.2075943718995
2023-04-03,858.9348737808818,862.4478759765625,26416933.0,0.7466477070824151,97.93339264638726
2023-04-05,865.1802578730985,863.2285766601562,21068934.0,0.0905214918304198,98.0220434144109
2023-04-06,860.6914189453125,853.8605346679688,26042745.0,-1.085233070994085,96.95827578241355
2023-04-10,858.7884767219354,847.46875,30906205.0,-0.7485747857469804,96.23247057721139
2023-04-11,852.5919670233527,860.5938720703125,39504022.0,1.5487440770308725,97.72286526545642
2023-04-12,862.1064479136913,868.6445922851562,22686032.0,0.9354842598955804,98.63704728833373
2023-04-13,869.5715361080806,877.2807006835938,34439635.0,0.9942050494688992,99.61770179312136
2023-04-17,895.1385965391224,879.525146484375,29957514.0,0.25584123747761645,99.87256495413565
2023-04-18,886.0144217796876,875.1825561523438,26699379.0,-0.49374260069645626,99.37945155454885
2023-04-19,874.2555961921902,870.3522338867188,24377956.0,-0.5519216798448356,98.8309548161084
2023-04-20,870.6937889701342,872.7918701171875,16999919.0,0.2803044716245706,99.10798240180719
2023-04-21,872.9381803026192,864.2532348632812,29578071.0,-0.9783128769015437,98.138396247933
2023-04-24,883.135744818471,882.8917846679688,30881665.0,2.1566074679067793,100.25485623029988
2023-04-25,884.4043683667354,891.3816528320312,41383839.0,0.9615978211027665,101.21890474336016
2023-04-26,889.429955738027,892.8453979492188,30371555.0,0.16421081952235905,101.38511713635079
2023-04-27,887.5269819129636,896.1631469726562,25835108.0,0.37159277866671836,101.76185691027226
2023-04-28,892.9917223591818,895.4801635742188,20381002.0,-0.07621194876676896,101.68430221601969
2023-05-02,901.676752879296,899.8226318359375,17515017.0,0.4849318207548192,102.1774017541777
2023-05-03,897.33418140065,900.554443359375,18715142.0,0.08132841935131196,102.26050101995858
2023-05-04,897.773371044411,899.4323120117188,20485002.0,-0.12460449847655486,102.13307983552306
2023-05-05,902.652518915828,904.555419921875,19002035.0,0.5695934915544321,102.71482321099028
2023-05-08,904.6041592669378,915.2408447265624,18623913.0,1.181290230465959,103.92818338282208
2023-05-09,918.2660247654844,911.8255004882812,21507610.0,-0.3731634419464225,103.54036139655835
2023-05-10,912.0206270874658,913.4356079101562,25910923.0,0.17658065287851077,103.72319364270517
2023-05-11,917.3389010960858,916.5094604492188,20027372.0,0.33651551488069753,104.07223828184262
2023-05-12,917.0461850344828,921.095947265625,13873480.0,0.500429838897487,104.59304681621346
2023-05-15,920.9495639221208,922.9012451171876,10453762.0,0.19599454941929828,104.7980434870448
2023-05-16,927.0485362203852,923.4866943359376,19612293.0,0.06343573831408822,104.86452289966954
2023-05-17,924.4138288097396,916.6558837890624,19273344.0,-0.7396761197287383,104.0888650657132
2023-05-18,925.0481595708952,923.6331787109376,21550141.0,0.7611683997525986,104.88115661425455
2023-05-19,928.4635680040532,931.2446899414062,15427412.0,0.8240837819502689,105.74546521623446
2023-05-22,928.0732370849948,927.39013671875,15509525.0,-0.41391411562290426,105.30776980907336
2023-05-23,929.0002544091722,930.366455078125,16579935.0,0.32093487320294933,105.64573916658297
2023-05-24,923.8282619002744,917.9244384765624,18049620.0,-1.3373242912673389,104.23291303401933
2023-05-25,914.3626768370068,917.143798828125,19328582.0,-0.0850439987993945,104.1442691967101
2023-05-26,917.0950028696642,927.731689453125,10957182.0,1.1544417177032251,105.34655408691407
2023-05-29,930.8055912909056,925.2433471679688,12108079.0,-0.2682178816833414,105.06399579111576
2023-05-30,922.5109142673764,926.9998168945312,18483624.0,0.18983867670476773,105.26344789041875
2023-05-31,926.5606365918726,926.2191162109376,27254425.0,-0.08421799760532922,105.1747971223951
2023-06-01,931.1958437509088,913.4843139648438,21650700.0,-1.374923279298157,103.72872435280469
2023-06-02,920.2176662665536,915.48486328125,12494376.0,0.21900204369389442,103.95589237903495
2023-06-05,920.2176729962288,923.8770751953124,10751684.0,0.9166958680215886,104.90885174903855
2023-06-06,923.6331390198328,919.3394165039062,11894330.0,-0.4911539438779644,104.39358778619605
2023-06-07,921.5350543493884,917.4853515625,16486469.0,-0.20167360477776342,104.18305347455079
2023-06-08,913.9722044059886,915.2408447265624,17608140.0,-0.2446368034230928,103.92818338282208
2023-06-09,918.6563698311433,915.3872680664062,12253128.0,0.01599833974712528,103.94481016669268
2023-06-12,915.3384739939504,913.3380126953124,10520125.0,-0.22386758507386695,103.7121114303629
2023-06-13,913.2892496101985,920.75439453125,13528776.0,0.8120084495390145,104.55426253837277
2023-06-14,923.1939743649098,917.094970703125,13489262.0,-0.3974375631395133,104.13872462518177
2023-06-15,917.9732552476846,904.2138671875,19366819.0,-1.4045550272453466,102.67603893314958
2023-06-16,906.8487279588852,911.63037109375,11249387.0,0.8202156785449999,103.51820390258825
2023-06-19,910.9472166078564,900.8472900390624,19351375.0,-1.1828347756503987,102.29375458769977
