Price,Open,Close,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,
2023-01-02,8121.5701290497045,8158.75537109375,398159
2023-01-03,8136.134226769631,8138.80419921875,493207
2023-01-04,8132.251075397912,8177.68896484375,566744
2023-01-05,8199.19457180585,8214.8740234375,417716
2023-01-06,8213.805594739106,8139.0947265625,368978
2023-01-09,8179.678330831971,8133.22119140625,613406
2023-01-10,8136.134216796476,8051.81201171875,493677
2023-01-11,8092.104067557962,8043.36474609375,327536
2023-01-12,8073.025519888365,8125.6484375,283772
2023-01-13,8152.639351629256,8207.3984375,705220
2023-01-16,8233.224647958064,8136.2314453125,500575
2023-01-17,8165.115287060325,8232.5927734375,409248
2023-01-18,8226.427998137942,8246.865234375,402883
2023-01-19,8232.252898276874,8254.244140625,184776
2023-01-20,8215.79684170705,8194.1943359375,346337
2023-01-23,8233.224228487628,8172.154296875,410827
2023-01-24,8204.09771081252,8445.6572265625,1039571
2023-01-25,8493.32881962791,8528.474609375,1131883
2023-01-27,8571.5339271779,8483.23046875,743546
2023-01-30,8523.523800346631,8560.41796875,1036998
2023-01-31,8599.156520431907,8636.4384765625,643670
2023-02-01,8676.92502735736,8513.66796875,707460
2023-02-02,8509.93009439357,8612.0205078125,456995
2023-02-03,8679.837434332414,8682.0703125,351157
2023-02-06,8667.167280925032,8648.7685546875,205161
2023-02-07,8648.769253659051,8507.455078125,318669
2023-02-08,8517.697874470265,8577.6025390625,391645
2023-02-09,8546.144758165037,8545.0771484375,392186
2023-02-10,8541.775172026431,8554.9306640625,276298
2023-02-13,8531.29004053597,8553.0869140625,253037
2023-02-14,8558.474255030891,8519.1044921875,227030
2023-02-15,8519.106202239313,8587.9423828125,452568
2023-02-16,8621.584987925366,8548.8642578125,247514
2023-02-17,8531.290367170424,8551.4365234375,214587
2023-02-20,8551.436433126592,8440.6572265625,298434
2023-02-21,8440.996419659275,8417.548828125,323478
2023-02-22,8423.034987055595,8406.966796875,363931
2023-02-23,8440.463312663542,8443.181640625,317544
2023-02-24,8457.502084378248,8408.4716796875,242982
2023-02-27,8378.858949611018,8380.9951171875,220225
2023-02-28,8398.276987372463,8373.373046875,370998
2023-03-01,8369.149988467312,8509.10546875,333441
2023-03-02,8515.755956531475,8299.9736328125,603893
2023-03-03,8342.012851762433,8350.9453125,437977
2023-03-06,8388.567598619918,8380.2666015625,275417
2023-03-08,8374.004091971809,8440.8994140625,348171
2023-03-09,8471.093970165854,8293.37109375,431466
2023-03-10,8281.769660877111,8351.2373046875,516128
2023-03-13,8351.237509047904,8270.5078125,479314
2023-03-14,8296.283774806016,8264.4384765625,349510
2023-03-15,8398.27698217714,8228.3212890625,509229
2023-03-16,8213.90240324742,8191.912109375,340261
2023-03-17,8255.555023546185,8074.82177734375,471602
2023-03-20,8074.821298795093,7980.4013671875,488199
2023-03-21,8005.062834371523,7988.9462890625,287497
2023-03-22,7996.324922507159,8012.248046875,218120
2023-03-23,8023.50938853548,8110.11376953125,540553
2023-03-24,8110.11488788351,8003.02490234375,391840
2023-03-27,8009.917771908322,8037.4423828125,364326
2023-03-28,8064.190883255215,7969.916015625,360349
2023-03-29,8009.7713730920705,8053.89892578125,339851
2023-03-31,8083.6570180993085,8050.8408203125,478757
2023-04-03,8168.02822597758,8255.603515625,627265
2023-04-05,8273.95412334774,8201.2333984375,272888
2023-04-06,8217.689403913519,8268.8076171875,309551
2023-04-10,8210.504651203672,8286.76953125,308275
2023-04-11,8330.313996954455,8407.548828125,409240
2023-04-12,8419.636440829161,8370.1689453125,408458
2023-04-13,8376.965743394047,8418.4716796875,480202
2023-04-17,8592.4557365762,8422.208984375,489356
2023-04-18,8439.977576783887,8478.5224609375,276111
2023-04-19,8437.161169979094,8427.35546875,280819
2023-04-20,8417.694876018091,8461.0458984375,369060
2023-04-21,8426.822037471034,8309.3916015625,424157
2023-04-24,8327.401123822834,8219.77734375,543745
2023-04-25,8262.350836943164,8222.447265625,906406
2023-04-26,8278.856489205798,8259.341796875,959058
2023-04-27,8320.605404835698,8294.3427734375,536521
2023-04-28,8342.935728928423,8339.5859375,387567
2023-05-02,8371.772016680858,8521.435546875,865562
2023-05-03,8514.784684576178,8541.2900390625,537008
2023-05-04,8540.659847739607,8544.494140625,271926
2023-05-05,8544.49396252637,8688.236328125,951591
2023-05-08,8782.753348798375,8812.123046875,678780
2023-05-09,8818.67555462477,8846.39453125,415394
2023-05-10,8863.143185758172,8901.3486328125,366827
2023-05-11,8973.971586442358,8991.3994140625,644550
2023-05-12,8991.448818486891,9024.896484375,403028
2023-05-15,8973.049764458503,8939.359375,259316
2023-05-16,8950.815577423631,8807.365234375,448981
2023-05-17,8816.103209984913,8854.017578125,290482
2023-05-18,8878.82311753861,8789.83984375,272497
2023-05-19,8796.345008784929,8840.9580078125,543472
2023-05-22,8825.47278969243,8890.18359375,182115
2023-05-23,8902.173482041162,8932.951171875,269008
2023-05-24,8901.203007442764,9000.962890625,470365
2023-05-25,8952.418673341179,9011.740234375,218979
2023-05-26,9061.401434972695,9126.4033203125,346760
2023-05-29,9160.432977061793,9061.88671875,236834
2023-05-30,9107.033023713255,9110.28515625,372004
2023-05-31,9174.948248799807,9095.091796875,1614766
2023-06-01,9065.770351979376,9056.837890625,378706
2023-06-02,9115.771633948654,9209.3173828125,445105
2023-06-05,9274.513718817741,9303.251953125,434649
2023-06-06,9348.78662337489,9452.8671875,542318
2023-06-07,9503.159321883852,9425.001953125,453747
2023-06-08,9449.760660785816,9377.525390625,273746
2023-06-09,9393.934146540369,9347.6220703125,161389
2023-06-12,9344.90377529446,9272.5234375,316879
2023-06-13,9308.980613425925,9240.5322265625,561014
2023-06-14,9242.958489050618,9255.0947265625,328167
2023-06-15,9276.940909460092,9315.630859375,459978
2023-06-16,9315.824976559355,9324.2236328125,682099
2023-06-19,9357.525657612188,9254.6103515625,395006
2023-06-20,9252.667568938396,9215.8701171875,612713
2023-06-21,9225.483163363997,9166.1123046875,356331
2023-06-22,9164.36447512485,9129.412109375,288487
2023-06-23,9145.868739435178,9055.8662109375,309138
2023-06-26,9055.867506376975,9194.609375,405168
2023-06-27,9213.832832854943,9185.6767578125,339375
2023-06-28,9199.705978719325,9263.0087890625,482586
2023-06-30,9290.533529223452,9504.1796875,845006
2023-07-03,9458.548211566913,9391.5078125,398066
2023-07-04,9417.721257082492,9366.65234375,247673
2023-07-05,9414.808340895308,9701.5146484375,815044
2023-07-06,9708.943083481232,9572.4833984375,652120
2023-07-07,9567.238527416817,9563.59765625,457050
2023-07-10,9567.238870604539,9452.9638671875,272008
2023-07-11,9510.926390598943,9612.0458984375,568772
2023-07-12,9607.046753235922,9549.5693359375,552967
2023-07-13,9566.219917739332,9366.796875,519564
2023-07-14,9419.614975815384,9324.17578125,498441
2023-07-17,9366.26265591585,9407.57421875,444583
2023-07-18,9427.624458236169,9384.37109375,320985
2023-07-19,9370.14767164617,9327.9619140625,450254
2023-07-20,9340.049217350985,9488.111328125,466813
2023-07-21,9437.13911226823,9485.732421875,328483
2023-07-24,9485.733012303272,9412.6728515625,358506
2023-07-25,9343.932599512089,9474.615234375,240998
2023-07-26,9477.43117347857,9472.4306640625,209861
2023-07-27,9485.68288790817,9469.759765625,256672
2023-07-28,9455.586702579893,9388.8857421875,381151
2023-07-31,9388.885076699904,9534.95703125,600060
2023-08-01,9475.97576350117,9433.984375,1394528
2023-08-02,9432.284446973854,9372.865234375,672815
2023-08-03,9407.215387326862,9353.1669921875,614897
2023-08-04,9369.141876055019,9281.3310546875,540470
2023-08-07,9300.539046350883,9333.6640625,366329
2023-08-08,9349.492328915996,9352.0400390625,430636
2023-08-09,9349.540912099568,9274.17578125,404602
2023-08-10,9274.174755418453,9209.982421875,523490
2023-08-11,9209.983330725638,9170.046875,498504
2023-08-14,9173.133789470707,9135.5498046875,336864
2023-08-16,9147.653254187211,9231.4951171875,336363
2023-08-17,9226.93889589693,9188.12890625,402798
2023-08-18,9163.333039002911,9267.265625,400745
2023-08-21,9266.776927083794,9250.361328125,375347
2023-08-22,9232.132615151146,9302.4013671875,435930
2023-08-23,9328.960293033333,9409.2744140625,546842
2023-08-24,9468.762694157276,9382.568359375,385559
2023-08-25,9363.261315347689,9315.92578125,346449
2023-08-28,9324.990912685867,9406.0888671875,325938
2023-08-29,9408.34318565675,9429.1689453125,317224
2023-08-30,9467.145011211667,9600.822265625,543634
2023-08-31,9575.046517604256,9804.0810546875,1581818
2023-09-01,9799.37726916969,10124.994140625,1193178
2023-09-04,10193.351474472745,10155.5712890625,819552
2023-09-05,10143.369150745262,10057.2236328125,507107
2023-09-06,10055.167004344756,9975.63671875,663758
2023-09-07,9947.363250378437,10075.5029296875,445805
2023-09-08,10191.390905341112,10125.728515625,439721
2023-09-11,10138.469466272329,10323.548828125,598050
2023-09-12,10333.496167887386,10293.90234375,568773
2023-09-13,10290.3752083263,10264.306640625,301707
2023-09-14,10256.122320040833,10278.76171875,501196
2023-09-15,10279.888617752527,10315.12109375,544616
2023-09-18,10290.423607464327,10312.033203125,430213
2023-09-20,10284.543640233222,10140.1845703125,545106
2023-09-21,10136.558545470765,10078.9814453125,577252
2023-09-22,10170.810252768031,10324.8232421875,986206
2023-09-25,10324.823749335661,10376.814453125,756801
2023-09-26,10419.642219642517,10345.89453125,452503
2023-09-27,10339.376930129849,10467.5166015625,458359
2023-09-28,10437.870345537327,10354.419921875,598144
2023-09-29,10330.556498449092,10398.7666015625,481725
2023-10-03,10495.98642180295,10140.33203125,623006
2023-10-04,10078.589523126337,9927.6142578125,407793
2023-10-05,9978.675300148663,10006.3125,377196
2023-10-06,10077.706489028324,10096.3759765625,335700
2023-10-09,10045.365908294749,10040.26953125,230083
2023-10-10,10084.567084902108,10167.8701171875,348342
2023-10-11,10143.320846698965,10204.2294921875,193526
2023-10-12,10251.173456890281,10369.66015625,569237
2023-10-13,10323.745885964378,10513.3828125,625954
2023-10-16,10515.734091788974,10490.7919921875,304196
2023-10-17,10515.783416913295,10536.16796875,474718
2023-10-18,10540.284020463509,10573.06640625,267435
2023-10-19,10486.381641854683,10556.650390625,286284
2023-10-20,10548.222079890242,10511.5205078125,232512
2023-10-23,10467.761264569113,10342.9541015625,227925
2023-10-25,10309.97512307961,10377.4501953125,401105
2023-10-26,10328.596762045017,10216.0400390625,506129
2023-10-27,10231.621590386318,10349.86328125,1116713
2023-10-30,10486.381782329607,10190.1171875,991168
2023-10-31,10280.574878203372,10184.8251953125,439996
2023-11-01,10182.667974486172,10023.5595703125,699116
2023-11-02,10084.862199650408,10097.896484375,569194
2023-11-03,10112.008304910485,10071.140625,517582
2023-11-06,10132.540035517952,10079.51953125,490459
2023-11-07,10094.368447886298,10048.6005859375,264935
2023-11-08,10113.967789132203,10116.2216796875,287006
2023-11-09,10143.32161418317,10192.71484375,310536
2023-11-10,10167.870230212431,10181.39453125,206395
2023-11-13,10220.79242084072,10190.8037109375,261891
2023-11-15,10287.435390228538,10247.302734375,436538
2023-11-16,10270.774409545043,10275.1845703125,488715
2023-11-17,10290.375409797121,10313.40625,403772
2023-11-20,10290.375365994321,10355.302734375,234246
2023-11-21,10406.99885085216,10324.8232421875,312242
2023-11-22,10339.376372724719,10285.033203125,378891
2023-11-23,10278.418275780758,10279.1044921875,453820
2023-11-24,10296.206352830368,10305.712890625,380306
2023-11-28,10329.527273149655,10327.1748046875,268026
2023-11-29,10358.977510016923,10387.6435546875,343341
2023-11-30,10369.758092216653,10396.9052734375,665660
2023-12-01,10396.218862839822,10374.3642578125,591519
2023-12-04,10481.482065743203,10387.83984375,625235
2023-12-05,10438.263164793063,10507.845703125,580996
2023-12-06,10507.845072456807,10413.6142578125,464163
2023-12-07,10574.585562251617,10483.099609375,704413
2023-12-08,10515.783771306018,10406.55859375,548373
2023-12-11,10417.780148168295,10331.2919921875,579749
2023-12-12,10407.979636749444,10132.001953125,1088687
2023-12-13,10153.169811643824,10172.8193359375,603469
2023-12-14,10231.572767214093,10146.505859375,635475
2023-12-15,10250.192832352031,10081.0390625,1244681
2023-12-18,10089.467676135842,10113.576171875,652498
2023-12-19,10113.576039051319,10029.29296875,585734
2023-12-20,10035.566026038437,9879.9853515625,964051
2023-12-21,9800.357119240725,9812.9501953125,739806
2023-12-22,9849.359489759578,10013.1728515625,652545
2023-12-26,10064.96610962708,10065.603515625,395273
2023-12-27,10080.647566913301,10083.09765625,397675
2023-12-28,10105.099158210323,10066.5341796875,584234
2023-12-29,10075.208689811181,10096.6708984375,705227
2024-01-01,10138.469370990719,10078.0009765625,411724
2024-01-02,10078.001043416072,9994.1591796875,776837
2024-01-03,9996.365003235618,9876.4580078125,521046
2024-01-04,9898.360779459785,9815.3515625,711733
2024-01-05,9810.795710218159,9817.0185546875,673131
2024-01-08,9805.2569825047,9748.12109375,600153
2024-01-09,9775.856215363016,9823.9755859375,666469
2024-01-10,9849.309934541447,9810.353515625,481699
2024-01-11,9824.95585183534,9811.2353515625,1024815
2024-01-12,9824.858096551572,9766.693359375,850190
2024-01-15,9785.754061269035,9885.5224609375,463380
2024-01-16,9885.472545547342,9980.2421875,536823
2024-01-17,9921.881782864586,9851.025390625,610250
2024-01-18,9747.483835632574,9726.3642578125,614860
2024-01-19,9761.155721034129,9837.3046875,377018
2024-01-23,9665.112614006734,9663.59375,956269
2024-01-24,9663.152198047756,9788.79296875,459092
2024-01-25,9788.793423907258,9683.7333984375,718817
2024-01-29,9732.882532886373,9791.9296875,446516
2024-01-30,9810.990004034245,9752.97265625,399869
2024-01-31,9760.469660656285,9983.5263671875,997024
2024-02-01,10006.164806847095,10425.5712890625,1869594
2024-02-02,10386.41843683099,10442.7216796875,814940
2024-02-05,10390.337960835615,10220.3505859375,365105
2024-02-06,10290.32704848357,10628.3408203125,829040
2024-02-07,10643.18805674898,10717.376953125,560808
2024-02-08,10732.37126661803,10529.40625,557082
2024-02-09,10497.407782792641,10518.576171875,645489
2024-02-12,10486.382134041196,10495.888671875,190655
2024-02-13,10515.782816010178,10578.9951171875,397979
2024-02-14,10491.282427702125,10807.78515625,354676
2024-02-15,10819.594026847906,10868.8408203125,447248
2024-02-16,10897.996572712302,11153.1982421875,716486
2024-02-19,11153.198861976376,11254.0927734375,581383
2024-02-20,11211.608265901896,11217.9296875,355044
